,SLA,MtAss
Agapetes_hosseana,0,0
Agapetes_serpens,1,0
Allotropa_virgata,1,1
Andersonia_sprengelioides,0,0
Andromeda_polifolia,0,0
Arbutus_canariensis,0,0
Arbutus_menziesii,0,0
Arctostaphylos_uva_ursi,0,0
Arctous_alpina,0,0
Astroloma_xerophyllum,0,0
Bejaria_aestuans,0,1
Bejaria_racemosa,0,0
Brachyloma_daphnoides,0,0
Bryanthus_gmelinii,0,0
Calluna_vulgaris,1,0
Cassiope_mertensiana,0,0
Cassiope_selaginoides,0,1
Cavendishia_bracteata,0,1
Ceratiola_ericoides,0,0
Chamaedaphne_calyculata,0,0
Chimaphila_maculata,0,1
Chimaphila_umbellata,0,0
Conostephium_pendulum,0,0
Corema_album,0,0
Corema_conradii,0,0
Cosmelia_rubra,0,0
Daboecia_cantabrica,1,0
Demosthenesia_mandonii,0,1
Dimorphanthera_dekockii,0,1
Dimorphanthera_kempteriana,0,1
Dimorphanthera_keysseri,0,1
Diogenesia_boliviana,0,1
Diplarche_multiflora,0,1
Disterigma_alaternoides,0,1
Dracophyllum_secundum,0,0
Elliottia_bracteata,1,NA
Elliottia_racemosa,1,0
Empetrum_eamesii,0,0
Empetrum_hermaphroditum,0,0
Empetrum_nigrum,0,0
Empetrum_rubrum,0,0
Enkianthus_campanulatus,1,0
Epacris_impressa,0,0
Epacris_lanuginosa,0,0
Epigaea_repens,0,0
Erica_arborea,0,0
Erica_carnea,0,0
Erica_cinerea,0,0
Erica_scoparia,0,0
Erica_tetralix,0,0
Eubotryoides_grayana,1,0
Gaultheria_antipoda,0,1
Gaultheria_cuneata,0,1
Gaultheria_fragrantissima,0,1
Gaultheria_leucocarpa,0,1
Gaultheria_nummularioides,0,1
Gaultheria_shallon,0,0
Gaultheria_thymifolia,0,1
Gaultheria_trichophylla,1,0
Kalmia_angustifolia,0,0
Kalmia_buxifolia,0,0
Kalmia_latifolia,0,0
Kalmia_polifolia,0,0
Leucopogon_conostephioides,0,0
Leucopogon_parviflorus,0,0
Leucothoe_davisiae,0,1
Leucothoe_fontanesiana,0,1
Leucothoe_keiskei,0,0
Lissanthe_strigosa,0,0
Lyonia_ferruginea,0,0
Lyonia_ligustrina,1,0
Lyonia_lucida,0,0
Lyonia_ovalifolia,0,1
Lysinema_ciliatum,0,0
Macleania_cordifolia,0,1
Macleania_rupestris,0,1
Menziesia_ciliicalyx,1,0
Moneses_uniflora,1,0
Monotoca_elliptica,0,0
Monotoca_empetrifolia,0,0
Monotoca_ledifolia,0,0
Monotoca_scoparia,0,0
Monotropa_hypopitys,1,0
Needhamiella_pumilio,0,0
Notopora_schomburgkii,0,0
Oligarrhena_micrantha,0,0
Orthilia_secunda,1,0
Oxydendrum_arboreum,1,1
Pentachondra_pumila,0,1
Pernettya_prostrata,0,1
Phyllodoce_aleutica,0,1
Phyllodoce_caerulea,0,0
Pieris_floribunda,0,1
Pieris_japonica,0,0
Prionotes_cerinthoides,0,0
Psammisia_ulbrichiana,1,1
Pyrola_elliptica,1,0
Pyrola_minor,1,0
Pyrola_picta,0,1
Pyrola_rotundifolia,1,0
Rhododendron_albiflorum,1,0
Rhododendron_arboreum,0,1
Rhododendron_atlanticum,0,0
Rhododendron_auriculatum,0,NA
Rhododendron_calophytum,0,1
Rhododendron_canadense,1,0
Rhododendron_catawbiense,0,1
Rhododendron_cerasinum,0,1
Rhododendron_edgeworthii,0,1
Rhododendron_ferrugineum,0,0
Rhododendron_forrestii,0,1
Rhododendron_groenlandicum,0,0
Rhododendron_hippophaeoides,0,1
Rhododendron_hirsutum,0,1
Rhododendron_impeditum,0,1
Rhododendron_indicum,1,0
Rhododendron_keleticum,0,0
Rhododendron_lapponicum,0,0
Rhododendron_lepidotum,1,0
Rhododendron_maximum,0,0
Rhododendron_mucronulatum,0,0
Rhododendron_ponticum,0,0
Rhododendron_smirnowii,0,1
Rhododendron_tapetiforme,0,1
Rhododendron_telmateium,0,1
Rhododendron_thomsonii,0,1
Rhododendron_vernicosum,0,1
Rhododendron_wardii,0,1
Rhododendron_williamsianum,0,0
Rhodothamnus_chamaecistus,0,1
Richea_gunnii,0,0
Richea_pandanifolia,0,1
Richea_scoparia,0,1
Richea_sprengelioides,0,1
Rupicola_sprengelioides,0,0
Satyria_warszewiczii,0,1
Siphonandra_elliptica,0,1
Sphyrospermum_buxifolium,0,1
Sphyrospermum_cordifolium,0,1
Sprengelia_incarnata,0,0
Styphelia_pancheri,0,1
Symphysia_racemosa,0,0
Thibaudia_floribunda,0,1
Trochocarpa_gunnii,0,1
Trochocarpa_laurina,0,0
Vaccinium_calycinum,1,0
Vaccinium_consanguineum,0,1
Vaccinium_corymbosum,1,0
Vaccinium_macrocarpon,1,0
Vaccinium_myrtillus,1,0
Vaccinium_oxycoccos,0,0
Vaccinium_reticulatum,0,0
Vaccinium_uliginosum,1,0
Vaccinium_vitis_idaea,0,0
Woollsia_pungens,0,0
